Timestamp,DShot_cmd,Thrust,Voltage,Omega
1691982972.5678177,50,-1.1629615418560206,0.0,0.0
1691982975.568777,100,-1.753383123058029,15.14,74.01428571428572
1691982978.5697584,150,5.539775261132718,15.14,23.55
1691982981.5707304,200,6.802890283212037,15.13,46.72619047619048
1691982984.571721,250,15.117187631612524,15.14,65.7904761904762
1691982987.572669,300,20.21804293150421,15.14,85.22857142857143
1691982990.5736203,350,27.06112584805737,15.11,102.79761904761904
1691982993.5745864,400,34.40751896497932,15.1,121.86190476190475
1691982996.575565,450,45.16577449786314,15.08,136.81428571428572
1691982999.576499,500,53.01063829399641,15.07,151.76666666666665
1691983002.5774343,550,72.247734894632,15.07,176.81190476190477
1691983005.5783997,600,88.03909243120393,15.06,171.2047619047619
1691983008.579388,650,103.02708945564882,15.03,190.64285714285717
1691983011.5803602,700,113.9740863136708,15.01,222.41666666666669
1691983014.5813563,750,134.92921292518076,15.03,247.4619047619048
1691983017.5823252,800,149.56392490513576,15.04,247.08809523809524
1691983020.583333,850,173.9938277076535,15.01,269.8904761904762
1691983023.5843418,900,190.18202597913185,14.97,286.3380952380952
1691983026.5852509,950,216.76551569668916,14.93,299.79523809523806
1691983029.586197,1000,233.93613676311816,14.89,296.4309523809524
1691983032.5871916,1050,255.2300298556454,14.84,330.447619047619
1691983035.5881815,1100,280.3761817894574,14.89,340.54047619047617
1691983038.5891757,1150,304.3947252935966,14.92,355.8666666666667
1691983041.5901206,1200,328.8294676172718,14.81,370.07142857142856
1691983044.5911522,1250,355.48555015219017,14.89,381.2857142857143
1691983047.592127,1300,379.14596909068246,14.79,386.5190476190476
1691983050.5931182,1350,404.3985904899571,14.8,416.7976190476191
1691983053.5941083,1400,432.9178886704715,14.8,417.54523809523806
1691983056.595062,1450,458.6738202701147,14.72,438.85238095238094
1691983059.5960493,1500,488.7659628267818,14.67,464.2714285714286
1691983062.5969791,1550,518.451585606228,14.6,447.45
1691983065.597944,1600,544.8318154351748,14.58,492.6809523809524
