Timestamp,DShot_cmd,Thrust,Voltage,Omega
1692879892.224715,50,2.464054501153896,0,0
1692879895.225736,100,8.150491861090131,15.13,28.035714285714285
1692879898.2267444,150,6.446980413687925,15.12,23.55
1692879901.227768,200,12.810950735659162,15.12,46.726190476190474
1692879904.2288136,250,13.449767528434904,15.11,65.41666666666667
1692879907.229815,300,23.167526012479357,15.1,85.60238095238095
1692879910.2308114,350,34.0951647858717,15.08,102.05
1692879913.2318304,400,38.67819132192244,15.09,119.2452380952381
1692879916.2328773,450,52.2724062530383,15.09,136.81428571428572
1692879919.2338896,500,68.79453148437665,15.06,163.72857142857143
1692879922.2348847,550,84.9536926289104,15.03,159.61666666666665
1692879925.235887,600,97.28963205910418,15.02,194.38095238095238
1692879928.2369342,650,116.82193945034055,15.06,189.89523809523808
1692879931.2379239,700,134.77656294426697,15.04,216.80952380952382
1692879934.2388797,750,156.4237410812841,15.02,230.26666666666665
1692879937.2398689,800,177.7321527372835,15,248.58333333333331
1692879940.2408786,850,203.23642923674242,14.99,265.0309523809524
1692879943.241871,900,219.25040474655452,14.94,271.7595238095238
1692879946.2428544,950,244.49334710351422,14.89,292.31904761904764
1692879949.2438304,1000,275.8534442034181,14.9,302.41190476190474
1692879952.244823,1050,298.0087720619613,14.89,320.35476190476186
1692879955.2458231,1100,324.40352045438044,14.88,334.1857142857143
1692879958.246757,1150,351.0063682565676,14.77,341.66190476190474
1692879961.2477474,1200,380.40645928772756,14.87,361.4738095238095
1692879964.2487898,1250,407.8900999405598,14.83,385.0238095238095
1692879967.2498095,1300,435.8576927091317,14.83,391.752380952381
1692879970.2508297,1350,469.28426534324217,14.72,416.7976190476191
1692879973.251854,1400,496.0516568647806,14.6,419.04047619047617
1692879976.2528982,1450,530.0541325166209,14.68,430.2547619047619
1692879979.253883,1500,556.7634497842705,14.63,438.85238095238094
1692879982.2548773,1550,588.0703121514432,14.55,446.7023809523809
1692879985.255906,1600,617.150994786215,14.5,465.0190476190476
