Timestamp,DShot_cmd,Thrust,Voltage,Omega
1692879719.3101015,50,0.3641944735393281,0,0
1692879722.3114488,100,3.7373407202419457,15.15,8.971428571428572
1692879725.3125787,150,8.484910975644198,15.14,23.55
1692879728.3139284,200,11.253117077672641,15.13,46.35238095238095
1692879731.3150585,250,11.87257578581898,15.11,65.7904761904762
1692879734.3163137,300,21.98717500476937,15.1,83.73333333333333
1692879737.3176382,350,32.50345447978361,15.1,102.42380952380952
1692879740.318856,400,39.79177334281667,15.09,121.11428571428571
1692879743.319896,450,53.516655345182016,15.08,135.69285714285715
1692879746.3210294,500,71.18574709082236,15.05,149.52380952380955
1692879749.3221965,550,87.91113221077126,15.05,165.97142857142856
1692879752.323385,600,109.37924806496471,15,185.78333333333333
1692879755.3245742,650,117.67418732873557,15.04,214.56666666666666
1692879758.3258083,700,139.04067323862387,15.02,217.9309523809524
1692879761.3269086,750,155.57731703343416,15.02,237.74285714285716
1692879764.3280244,800,180.69927136145907,14.99,250.45238095238096
1692879767.3290896,850,203.38694654731557,14.99,262.78809523809525
1692879770.3302598,900,219.23637833777616,14.95,275.87142857142857
1692879773.331372,950,257.99126376617596,14.89,294.9357142857143
1692879776.3326035,1000,268.6624079182268,14.89,314.747619047619
1692879779.3336384,1050,295.3959227916632,14.87,329.32619047619045
1692879782.3347511,1100,319.06602077247044,14.81,333.43809523809523
1692879785.3358684,1150,353.0104221704221,14.82,352.502380952381
1692879788.33708,1200,381.8442892261669,14.88,373.8095238095238
1692879791.3381798,1250,406.806539355998,14.8,379.79047619047617
1692879794.3392813,1300,440.0734077919144,14.78,396.23809523809524
1692879797.3405495,1350,466.3568471977137,14.71,399.60238095238094
1692879800.3417664,1400,502.95330618991625,14.7,405.20952380952383
1692879803.3429332,1450,526.4298233244276,14.66,441.4690476190476
1692879806.3441217,1500,552.4616076300424,14.65,438.85238095238094
1692879809.3451505,1550,580.4437189620862,14.58,451.18809523809523
1692879812.3463664,1600,614.3058485003621,14.4,467.26190476190476
