Timestamp,DShot_cmd,Thrust,Voltage,Omega
1691999471.8543115,50,0.7009103099985623,0,0
1691999474.855399,100,7.210066266691683,15.14,10.092857142857143
1691999477.8563862,150,-0.08309211749883616,15.12,23.55
1691999480.857393,200,3.594943962119487,15.14,45.978571428571435
1691999483.8583808,250,16.85523193337508,15.13,65.41666666666667
1691999486.8593056,300,21.907692021693038,15.11,83.35952380952381
1691999489.860289,350,31.881945127079007,15.11,99.05952380952381
1691999492.8612854,400,38.434656774188625,15.09,118.12380952380953
1691999495.8623152,450,50.4415087656796,15.09,139.05714285714285
1691999498.8633623,500,67.79603163608931,15.08,154.0095238095238
1691999501.8643575,550,82.33879271405408,15.07,174.5690476190476
1691999504.8653643,600,101.86626058413322,15.05,181.29761904761904
1691999507.866331,650,114.72486829932518,15.03,181.29761904761904
1691999510.8673449,700,133.47317326306415,15.02,212.69761904761907
1691999513.8682969,750,155.57526638887612,15.05,229.51904761904763
1691999516.8692636,800,171.19240116378182,14.98,246.3404761904762
1691999519.8703043,850,192.06525591561604,15,268.0214285714286
1691999522.8713844,900,216.9403946646139,14.97,283.34761904761905
1691999525.8724122,950,240.90570343602212,14.95,305.40238095238095
1691999528.873386,1000,264.6096780649309,14.96,327.08333333333337
1691999531.8744075,1050,287.578045477916,14.89,321.4761904761905
1691999534.8754911,1100,320.19157855758476,14.82,341.66190476190474
1691999537.8764932,1150,343.63421904399434,14.87,350.6333333333333
1691999540.877474,1200,365.8573001987411,14.9,375.67857142857144
1691999543.878448,1250,397.41581766609806,14.77,378.6690476190476
1691999546.8794143,1300,419.3340089879291,14.78,406.70476190476194
1691999549.880395,1350,451.67168936162625,14.75,405.95714285714286
1691999552.8813734,1400,479.1166138451997,14.74,419.78809523809525
1691999555.8824089,1450,511.4639732612118,14.75,432.12380952380954
1691999558.8834422,1500,539.0008486467755,14.66,440.34761904761905
1691999561.8844664,1550,564.6406317386413,14.52,469.13095238095235
1691999564.8854966,1600,599.1077014215914,14.52,469.87857142857143
