Timestamp,DShot_cmd,Thrust,Voltage,Omega
1691983100.565591,50,1.4260455677117534,0.0,0.0
1691983103.5664327,100,2.4181474049771623,15.14,10.466666666666669
1691983106.5674584,150,4.508820544970831,15.13,23.55
1691983109.5684023,200,10.596938160970694,15.13,47.1
1691983112.569383,250,13.31190953026794,15.13,66.53809523809524
1691983115.570363,300,18.79508700159363,15.13,86.72380952380954
1691983118.5713494,350,26.751259784346985,15.11,102.79761904761904
1691983121.572297,400,36.96748894760276,15.1,120.7404761904762
1691983124.5732613,450,48.954982854464106,15.11,141.3
1691983127.57423,500,56.22878315402522,15.06,154.75714285714284
1691983130.5752542,550,71.12966879763712,15.07,171.95238095238096
1691983133.576243,600,87.7873006213822,15.06,192.8857142857143
1691983136.5772378,650,104.4449324451275,15.02,213.44523809523807
1691983139.5782242,700,114.86442149699384,15.01,221.2952380952381
1691983142.5792186,750,132.34961143865326,15.0,227.65
1691983145.5801923,800,153.45960272719958,15.0,253.44285714285712
1691983148.581151,850,171.40938669996876,14.98,274.002380952381
1691983151.58208,900,193.52115886809543,14.95,286.71190476190475
1691983154.5830407,950,213.24704710562764,14.95,299.0476190476191
1691983157.5840633,1000,238.1318648969402,14.91,309.14047619047614
1691983160.585018,1050,261.8600371316361,14.91,328.5785714285715
1691983163.5859778,1100,284.98810874281526,14.98,343.9047619047619
1691983166.5869362,1150,309.3405792068147,14.83,348.7642857142857
1691983169.5878987,1200,333.35428318979666,14.86,368.5761904761905
1691983172.5888114,1250,361.3315550006832,14.82,384.65
1691983175.589794,1300,383.433648126495,14.88,413.8071428571429
1691983178.5907254,1350,410.3801019308569,14.75,408.947619047619
1691983181.5916927,1400,432.7290106356959,14.78,444.83333333333337
1691983184.592654,1450,462.685646599956,14.68,425.3952380952381
1691983187.5936017,1500,491.4904765287565,14.72,436.9833333333333
1691983190.594529,1550,521.0405927157958,14.58,464.2714285714286
1691983193.5955288,1600,545.8528176897476,14.54,491.5595238095238
