Timestamp,DShot_cmd,Thrust,Voltage,Omega
1691983529.249843,50,2.778787427948828,0.0,0.0
1691983532.2508364,100,3.3982461360951675,15.12,3.3642857142857143
1691983535.2518525,150,1.2107825729535762,15.11,23.923809523809524
1691983538.2528863,200,11.935161457735605,15.13,45.97857142857144
1691983541.253937,250,23.84038350492142,15.12,65.04285714285714
1691983544.2549348,300,24.682460186307708,15.1,82.98571428571428
1691983547.2559423,350,35.88111214451419,15.1,99.80714285714284
1691983550.2569366,400,47.46208627415467,15.08,118.87142857142858
1691983553.2579322,450,60.0206436775884,15.11,131.9547619047619
1691983556.258957,500,79.9643103672031,15.08,150.64523809523808
1691983559.260039,550,90.04503293805192,15.05,176.43809523809523
1691983562.2610784,600,111.914829048309,15.02,197.7452380952381
1691983565.262113,650,128.2433734333515,15.03,181.67142857142855
1691983568.2631764,700,150.73746777291217,15.0,226.90238095238092
1691983571.264182,750,169.3599451865589,15.01,228.77142857142857
1691983574.265182,800,194.7335546147683,14.99,254.5642857142857
1691983577.2661688,850,218.94083944404588,14.93,260.1714285714286
1691983580.2671864,900,243.3755817677211,14.92,272.8809523809524
1691983583.268186,950,270.1236152046299,14.88,290.07619047619045
1691983586.269154,1000,296.38769652579936,14.91,309.8880952380952
1691983589.2701476,1050,324.6843767330738,14.82,322.2238095238095
1691983592.2712147,1100,350.43546881155976,14.81,331.5690476190476
1691983595.2722485,1150,381.1954652879469,14.85,343.15714285714284
1691983598.2732673,1200,410.4697287690146,14.87,356.2404761904762
1691983601.2742567,1250,434.154345313294,14.76,388.3880952380952
1691983604.2753017,1300,474.57886554099423,14.77,379.79047619047617
1691983607.2763054,1350,498.0650617178203,14.7,408.947619047619
1691983610.2772748,1400,532.5321314007704,14.6,424.6476190476191
1691983613.2782505,1450,563.137263200121,14.66,416.7976190476191
1691983616.2792668,1500,596.8929232729342,14.53,420.5357142857143
1691983619.280261,1550,621.5212464429051,14.51,464.2714285714286
1691983622.2812674,1600,650.0599027080491,14.44,446.7023809523809
