Timestamp,DShot_cmd,Thrust,Voltage,Omega
1691984932.4171882,50,-1.282555132491325,0.0,0.0
1691984935.4182222,100,-1.2051227939730325,15.12,3.3642857142857143
1691984938.419273,150,7.622163797110943,15.14,23.55
1691984941.4202278,200,4.791043920036373,15.14,47.1
1691984944.421226,250,14.992754519819982,15.11,66.91190476190476
1691984947.4222202,300,20.08393077739697,15.11,84.48095238095239
1691984950.4233134,350,28.949933537740208,15.09,103.17142857142858
1691984953.424334,400,37.55944167674147,15.1,119.99285714285716
1691984956.425325,450,56.4771298809892,15.08,141.67380952380952
1691984959.4263384,500,63.36860800911609,15.08,154.75714285714284
1691984962.4274008,550,75.37546000060706,15.03,166.7190476190476
1691984965.4284215,600,89.5068617801935,15.05,173.82142857142858
1691984968.4294114,650,105.68538100935687,15.06,205.22142857142856
1691984971.4303825,700,127.30352201942948,15.01,220.17380952380952
1691984974.43145,750,152.04799369717784,15.04,234.0047619047619
1691984977.4324212,800,164.0258085617245,15.01,256.8071428571429
1691984980.4333954,850,188.42183471614044,14.95,263.9095238095238
1691984983.4343712,900,208.57360081552315,14.98,288.20714285714286
1691984986.4354112,950,232.39372395220948,14.95,289.3285714285714
1691984989.4364245,1000,254.73779313589105,14.91,316.9904761904762
1691984992.437414,1050,282.4295331984913,14.95,318.85952380952386
1691984995.4384046,1100,304.90426945342256,14.84,341.28809523809525
1691984998.439447,1150,330.4472621221405,14.89,359.2309523809524
1691985001.440404,1200,356.8565290780318,14.83,373.8095238095238
1691985004.4413016,1250,384.6789362118818,14.8,379.4166666666666
1691985007.4422374,1300,409.4669635800467,14.82,407.4523809523809
1691985010.4433105,1350,432.4159729084022,14.77,436.2357142857143
1691985013.444312,1400,465.4457048076065,14.7,405.95714285714286
1691985016.4452794,1450,497.1300498250557,14.73,446.7023809523809
1691985019.4462557,1500,521.5212364583144,14.58,437.7309523809524
1691985022.4472923,1550,553.4572365759482,14.62,456.4214285714285
1691985025.4483178,1600,580.3117394783194,14.54,467.2619047619048
