Timestamp,DShot_cmd,Thrust,Voltage,Omega
1691983700.2717507,50,3.1523834232395984,0.0,0.0
1691983703.272755,100,0.2389916864892711,15.12,20.559523809523807
1691983706.2737684,150,4.047694837357085,15.13,23.55
1691983709.2747622,200,8.867857910120165,15.12,45.97857142857144
1691983712.2758102,250,14.007429379271116,15.12,65.04285714285714
1691983715.2768135,300,27.81458324131222,15.13,84.10714285714286
1691983718.2777994,350,34.06724457666337,15.1,103.17142857142858
1691983721.2787857,400,45.45947738116547,15.09,115.88095238095238
1691983724.279809,450,64.31425181036707,15.08,134.19761904761904
1691983727.280818,500,82.35598668512648,15.05,152.1404761904762
1691983730.2818198,550,91.65754634963514,15.07,169.33571428571426
1691983733.2828028,600,112.1335603665632,15.02,195.50238095238092
1691983736.283834,650,130.84798868220014,15.03,208.58571428571423
1691983739.2848496,700,158.75750719688313,15.02,215.3142857142857
1691983742.2858691,750,172.7872790321644,15.02,236.62142857142857
1691983745.2868786,800,198.09313516417023,15.0,251.2
1691983748.28793,850,219.20312645271656,14.96,268.0214285714286
1691983751.288912,900,243.7153011149101,14.93,281.1047619047619
1691983754.289916,950,270.82629863862326,14.9,285.21666666666664
1691983757.2909024,1000,296.8290458172935,14.86,305.7761904761905
1691983760.291917,1050,326.8050398661833,14.84,324.8404761904762
1691983763.2929113,1100,357.49244352520964,14.91,337.55
1691983766.2938857,1150,379.9671797801407,14.84,342.7833333333333
1691983769.29488,1200,410.18031036574257,14.75,358.85714285714283
1691983772.295925,1250,443.08421471485485,14.78,374.9309523809524
1691983775.2969306,1300,469.5805930515792,14.78,382.4071428571429
1691983778.2979708,1350,504.7784304292954,14.66,408.2
1691983781.298986,1400,535.9352676405888,14.64,395.4904761904762
1691983784.300046,1450,566.559757524569,14.59,419.78809523809525
1691983787.301046,1500,595.5630078208228,14.57,429.50714285714287
1691983790.3020558,1550,629.0670127934516,14.6,442.2166666666667
1691983793.303053,1600,660.3593565971521,14.49,453.0571428571429
