Timestamp,DShot_cmd,Thrust,Voltage,Omega
1691999350.3085096,50,-5.037367344369386,0,0
1691999353.3095255,100,1.9363826434332623,15.16,10.840476190476192
1691999356.3105152,150,5.735406751986602,15.14,23.923809523809524
1691999359.3115396,200,10.105494357112093,15.14,46.35238095238095
1691999362.312545,250,10.792706361461796,15.11,65.04285714285714
1691999365.313528,300,18.44882883245691,15.11,84.8547619047619
1691999368.3145304,350,26.279174065118013,15.1,101.67619047619048
1691999371.3155832,400,39.75240096729908,15.1,121.11428571428571
1691999374.316584,450,52.702959584481505,15.08,135.69285714285715
1691999377.3175967,500,71.2189675326656,15.05,161.8595238095238
1691999380.3186014,550,88.02178499113256,15.08,163.72857142857143
1691999383.3196287,600,102.65165744993033,15.02,174.94285714285712
1691999386.3206122,650,113.5889752656376,15.06,213.44523809523807
1691999389.321554,700,135.0328935140442,15.05,200.7357142857143
1691999392.3225768,750,154.79749792083544,15,241.85476190476192
1691999395.3236094,800,167.7480565380181,14.98,245.96666666666667
1691999398.324649,850,193.87663126678058,14.96,264.65714285714284
1691999401.3256204,900,217.62416158610586,14.97,280.7309523809524
1691999404.3266394,950,240.0456631083057,14.93,305.7761904761905
1691999407.3276558,1000,263.7593167795294,14.89,311.0095238095238
1691999410.3286839,1050,291.4026616305557,14.91,328.20476190476194
1691999413.329713,1100,316.3649117603868,14.88,341.66190476190474
1691999416.330686,1150,340.03017022003655,14.83,353.62380952380954
1691999419.33166,1200,370.6159439347575,14.9,365.21190476190475
1691999422.3325841,1250,390.6176848782611,14.84,396.6119047619048
1691999425.3335855,1300,419.10310641067394,14.74,400.34999999999997
1691999428.3345737,1350,448.9242357825269,14.7,428.01190476190476
1691999431.335601,1400,481.4893736506217,14.61,419.78809523809525
1691999434.3365839,1450,511.35889823404864,14.7,442.2166666666667
1691999437.3375812,1500,535.2274165823089,14.5,466.14047619047614
1691999440.3386047,1550,556.2454569688648,14.59,466.14047619047614
1691999443.3396647,1600,589.7494619414936,14.53,478.10238095238094
