Timestamp,DShot_cmd,Thrust,Voltage,Omega
1691983916.87251,50,-1.819659955179532,0.0,0.0
1691983919.8735178,100,2.1390683515674027,15.13,4.111904761904762
1691983922.874514,150,7.888419486549992,15.13,23.923809523809524
1691983925.875563,200,12.248828049360554,15.13,45.97857142857144
1691983928.8765628,250,17.378720476196804,15.11,64.66904761904762
1691983931.8775933,300,26.220525630752945,15.12,82.23809523809523
1691983934.8785946,350,31.54883842504228,15.11,98.68571428571428
1691983937.8796468,400,47.78543190809432,15.09,121.86190476190475
1691983940.8805785,450,59.15346710680956,15.08,134.9452380952381
1691983943.8815556,500,81.06681890748314,15.09,148.7761904761905
1691983946.8825414,550,96.35970576484374,15.04,160.73809523809524
1691983949.8835433,600,109.75066080734882,15.04,173.82142857142858
1691983952.8845236,650,132.68999109338984,15.04,204.4738095238095
1691983955.8855526,700,149.93804449833692,15.03,217.9309523809524
1691983958.8865542,750,173.9614275236338,15.0,232.1357142857143
1691983961.8875887,800,196.81364642884137,15.0,248.95714285714288
1691983964.8886175,850,217.93331675970265,14.96,266.1523809523809
1691983967.88965,900,241.98573691194383,14.95,270.2642857142857
1691983970.890621,950,273.48618012541215,14.93,292.6928571428571
1691983973.8916676,1000,298.02739191455,14.89,297.92619047619047
1691983976.8926654,1050,321.4893904855892,14.83,321.10238095238094
1691983979.89364,1100,353.4060325185933,14.78,329.7
1691983982.8946228,1150,381.3978228929518,14.88,341.66190476190474
1691983985.8956928,1200,411.9206828326269,14.83,359.2309523809524
1691983988.8967311,1250,443.3146565806326,14.74,372.3142857142857
1691983991.8977618,1300,470.6966672891599,14.73,387.2666666666667
1691983994.8987763,1350,509.7951587197345,14.75,423.15238095238095
1691983997.8997726,1400,531.9940422686943,14.71,408.947619047619
1691984000.9007382,1450,561.650627921196,14.5,425.3952380952381
1691984003.901755,1500,593.3882076713764,14.6,422.0309523809524
1691984006.9027576,1550,622.8899286468418,14.52,445.5809523809524
1691984009.9038084,1600,653.4950604461924,14.35,451.9357142857143
