Timestamp,DShot_cmd,Thrust,Voltage,Omega
1691984516.710853,50,-2.486857668641278,0.0,0.0
1691984519.7118905,100,-3.1547115883613515,15.12,25.04523809523809
1691984522.712771,150,6.093613343415655,15.13,23.55
1691984525.713714,200,5.445117508325211,15.12,45.60476190476191
1691984528.7147002,250,16.813152707040217,15.13,65.7904761904762
1691984531.715709,300,23.99500210461088,15.12,82.98571428571428
1691984534.7166977,350,32.75453539949149,15.1,99.0595238095238
1691984537.7177072,400,42.98528312621943,15.09,115.13333333333333
1691984540.7187216,450,59.85585388088998,15.06,134.9452380952381
1691984543.7197866,500,71.96433581668612,15.08,156.25238095238095
1691984546.7207918,550,89.42532815255868,15.05,172.32619047619048
1691984549.7217636,600,110.51596135647536,15.04,167.46666666666667
1691984552.7226193,650,125.03936434981053,15.02,194.3809523809524
1691984555.7235794,700,148.92240126154297,15.05,205.5952380952381
1691984558.724553,750,166.562455880239,15.01,227.65
1691984561.7255266,800,188.09832503063603,14.96,245.5928571428572
1691984564.7265103,850,212.81375958143985,14.93,260.1714285714286
1691984567.7275417,900,234.3544682529941,14.93,276.99285714285713
1691984570.7284138,950,268.00849838150225,14.88,297.552380952381
1691984573.7293744,1000,283.9885972432125,14.96,291.57142857142856
1691984576.730347,1050,313.4467625282612,14.86,318.85952380952386
1691984579.7313914,1100,340.99815647729724,14.86,324.0928571428572
1691984582.7325826,1150,368.1333516067973,14.83,344.2785714285714
1691984585.733492,1200,397.1995156780972,14.83,351.7547619047619
1691984588.7344673,1250,429.716258334618,14.78,385.0238095238095
1691984591.7354932,1300,455.3899180745857,14.75,381.2857142857143
1691984594.7364943,1350,489.8327901517487,14.74,398.85476190476186
1691984597.7375138,1400,515.1725229318561,14.66,404.08809523809526
1691984600.7384984,1450,550.7623615233213,14.63,416.05
1691984603.7395594,1500,579.9204764966114,14.6,444.83333333333337
1691984606.7405524,1550,611.4257592312372,14.56,444.83333333333337
1691984609.7415698,1600,645.5879390812713,14.46,465.0190476190476
