Timestamp,DShot_cmd,Thrust,Voltage,Omega
1691984785.6621418,50,7.402416726252341,0.0,0.0
1691984788.6631966,100,5.8876466039885145,15.15,3.3642857142857143
1691984791.6642058,150,8.655852706016958,15.14,23.923809523809524
1691984794.6652322,200,11.148206102074257,15.13,46.72619047619048
1691984797.666204,250,16.737853038862568,15.11,66.53809523809524
1691984800.6673012,300,25.250570754716136,15.11,84.48095238095239
1691984803.668327,350,28.149443927994295,15.1,102.05
1691984806.6693308,400,43.67946732206701,15.1,121.86190476190475
1691984809.6703358,450,56.45580317758345,15.08,140.17857142857142
1691984812.6714303,500,66.9382060044959,15.06,157.3738095238095
1691984815.6724484,550,74.11521588090909,15.08,173.44761904761907
1691984818.673427,600,94.04436400705164,15.06,182.41904761904763
1691984821.6744163,650,108.01606158844402,15.03,202.60476190476192
1691984824.6754563,700,129.92457386796036,15.02,232.88333333333333
1691984827.6764798,750,146.64027994559433,15.04,231.7619047619048
1691984830.6775126,800,164.98690465326945,15.0,249.7047619047619
1691984833.678521,850,181.475153236506,14.96,272.50714285714287
1691984836.6795366,900,211.49954249696972,14.97,283.34761904761905
1691984839.6804976,950,230.3252797992268,14.92,299.79523809523806
1691984842.6814804,1000,254.6196760093376,14.95,318.4857142857143
1691984845.682496,1050,276.76532482556604,14.9,326.3357142857143
1691984848.6836257,1100,305.105560723257,14.9,345.40000000000003
1691984851.6846216,1150,326.12360110981285,14.93,358.10952380952386
1691984854.6856155,1200,352.34896626172326,14.86,379.79047619047617
1691984857.686612,1250,385.3303029493538,14.83,387.2666666666667
1691984860.6876352,1300,410.7765051949239,14.83,403.3404761904762
1691984863.6886206,1350,436.2420655251237,14.82,408.2
1691984866.6896255,1400,475.49542163273486,14.78,439.6
1691984869.6905875,1450,499.4607304041431,14.66,451.9357142857143
1691984872.6915262,1500,524.4423386186036,14.66,453.0571428571429
1691984875.6924727,1550,555.8943866204979,14.58,464.2714285714286
1691984878.6934955,1600,584.815365057076,14.6,461.2809523809524
