Timestamp,DShot_cmd,Thrust,Voltage,Omega
1691984277.5272832,50,0.2485381204558052,0.0,0.0
1691984280.528293,100,3.4087454362331755,15.14,17.942857142857143
1691984283.529282,150,5.852703620716511,15.13,23.923809523809524
1691984286.5302746,200,5.925296438077339,15.11,45.97857142857144
1691984289.5312471,250,17.7579256679021,15.12,65.41666666666667
1691984292.5322084,300,25.772172704544342,15.11,82.23809523809523
1691984295.5331883,350,32.56202088836608,15.11,100.5547619047619
1691984298.534206,400,42.957312334445305,15.1,115.13333333333333
1691984301.5352328,450,61.68141969239719,15.06,134.19761904761904
1691984304.5362442,500,75.28531366582774,15.06,149.89761904761903
1691984307.537243,550,92.65435509970985,15.02,161.11190476190475
1691984310.538262,600,108.40215694586529,15.05,190.64285714285717
1691984313.539307,650,123.83055039563284,15.03,189.52142857142857
1691984316.5403154,700,143.16927694057358,15.01,215.68809523809523
1691984319.5413492,750,173.4550003435363,15.02,224.6595238095238
1691984322.542364,800,190.55302859260428,14.97,251.2
1691984325.5434744,850,210.13857071657208,14.95,260.1714285714286
1691984328.5444777,900,237.5399395097288,14.93,284.4690476190476
1691984331.5454452,950,262.6764124012259,14.9,292.6928571428571
1691984334.5464425,1000,288.146812252583,14.87,311.75714285714287
1691984337.5474598,1050,312.1605162355652,14.86,315.86904761904765
1691984340.5484228,1100,344.1691091705595,14.77,337.92380952380955
1691984343.549395,1150,369.7072623181202,14.88,366.70714285714286
1691984346.5504155,1200,399.89619529793526,14.73,368.2023809523809
1691984349.5514767,1250,427.1959341467869,14.77,370.4452380952381
1691984352.5525036,1300,456.7508898549832,14.73,391.752380952381
1691984355.553582,1350,486.7752791154469,14.74,412.6857142857143
1691984358.554611,1400,520.5164206247878,14.66,416.7976190476191
1691984361.555647,1450,545.3818803314709,14.56,438.85238095238094
1691984364.5566597,1500,577.4485475203542,14.58,426.1428571428572
1691984367.5576608,1550,606.5921439301724,14.48,441.4690476190476
1691984370.5586076,1600,644.6211011849632,14.49,453.0571428571429
