Timestamp,Voltage,Current
1691984110.4753113,15.074,0.087
1691984110.8776054,15.074,0.087
1691984111.2794576,15.074,0.087
1691984111.6815224,15.074,0.087
1691984112.083775,15.072,0.087
1691984112.486023,15.073,0.087
1691984112.8880484,15.076,0.087
1691984113.2902963,15.075,0.09
1691984113.6925755,15.076,0.09
1691984114.0947318,15.074,0.09
1691984114.496851,15.075,0.09
1691984114.899187,15.075,0.09
1691984115.3015356,15.074,0.12
1691984115.7040422,15.076,0.091
1691984116.106222,15.077,0.091
1691984116.5084832,15.077,0.122
1691984116.9105947,15.077,0.122
1691984117.3128176,15.077,0.122
1691984117.715008,15.076,0.122
1691984118.1171834,15.077,0.121
1691984118.519377,15.076,0.121
1691984118.9218976,15.076,0.121
1691984119.3244092,15.076,0.154
1691984119.7268822,15.078,0.152
1691984120.129126,15.077,0.152
1691984120.5317883,15.076,0.152
1691984120.9342446,15.076,0.152
1691984121.3366368,15.077,0.152
1691984121.7391393,15.075,0.152
1691984122.141679,15.075,0.202
1691984122.5439835,15.075,0.19
1691984122.9466515,15.076,0.19
1691984123.349012,15.076,0.19
1691984123.7515,15.074,0.19
1691984124.1537652,15.074,0.19
1691984124.556306,15.073,0.189
1691984124.9588523,15.074,0.189
1691984125.3611474,15.075,0.243
1691984125.763357,15.072,0.242
1691984126.1652782,15.073,0.242
1691984126.5673466,15.073,0.242
1691984126.9693856,15.073,0.242
1691984127.3713737,15.075,0.242
1691984127.773599,15.075,0.242
1691984128.1758509,15.074,0.366
1691984128.577889,15.075,0.315
1691984128.9801903,15.075,0.314
1691984129.3822844,15.076,0.314
1691984129.7846162,15.075,0.314
1691984130.1865442,15.075,0.314
1691984130.5886166,15.078,0.315
1691984130.9909003,15.078,0.315
1691984131.3935828,15.077,0.41
1691984131.79585,15.077,0.409
1691984132.1980736,15.076,0.408
1691984132.6003294,15.074,0.407
1691984133.0023909,15.076,0.408
1691984133.4046614,15.077,0.409
1691984133.80682,15.077,0.408
1691984134.2091408,15.077,0.579
1691984134.611207,15.077,0.523
1691984135.0133023,15.077,0.524
1691984135.4155023,15.078,0.522
1691984135.8176532,15.079,0.522
1691984136.220002,15.08,0.522
1691984136.6221519,15.081,0.523
1691984137.024038,15.08,0.651
1691984137.425642,15.078,0.67
1691984137.8276494,15.076,0.67
1691984138.229757,15.078,0.669
1691984138.6317327,15.077,0.671
1691984139.0335882,15.077,0.669
1691984139.4358115,15.077,0.67
1691984139.8378885,15.078,0.672
1691984140.2399952,15.079,0.877
1691984140.6419885,15.08,0.837
1691984141.0442734,15.08,0.838
1691984141.4470835,15.082,0.841
1691984141.8491602,15.082,0.838
1691984142.2513437,15.082,0.837
1691984142.653544,15.081,0.838
1691984143.0558856,15.08,0.837
1691984143.4580133,15.081,1.028
1691984143.8601913,15.082,1.035
1691984144.2620645,15.082,1.031
1691984144.6643167,15.081,1.031
1691984145.0664096,15.081,1.031
1691984145.468402,15.081,1.034
1691984145.8703651,15.081,1.034
1691984146.2727153,15.081,1.341
1691984146.674901,15.081,1.258
1691984147.0767996,15.079,1.261
1691984147.4789522,15.079,1.258
1691984147.8811133,15.078,1.257
1691984148.2831318,15.078,1.258
1691984148.6851902,15.079,1.259
1691984149.0874593,15.079,1.26
1691984149.4897287,15.08,1.507
1691984149.892004,15.081,1.506
1691984150.2940757,15.081,1.506
1691984150.6961787,15.081,1.507
1691984151.0982683,15.079,1.502
1691984151.5003977,15.079,1.51
1691984151.9023833,15.079,1.506
1691984152.3046088,15.078,1.785
