Timestamp,Voltage,Current
1691984780.0234265,15.08,0.088
1691984780.4255195,15.08,0.088
1691984780.8279755,15.08,0.088
1691984781.2301693,15.081,0.088
1691984781.632917,15.08,0.088
1691984782.0350392,15.079,0.088
1691984782.436977,15.076,0.088
1691984782.8390846,15.076,0.088
1691984783.2414856,15.076,0.089
1691984783.6438138,15.076,0.09
1691984784.0459003,15.077,0.09
1691984784.4484735,15.078,0.09
1691984784.8507683,15.077,0.091
1691984785.2528894,15.075,0.125
1691984785.6553752,15.075,0.095
1691984786.0578868,15.073,0.09
1691984786.4602284,15.075,0.121
1691984786.8626575,15.077,0.121
1691984787.265292,15.078,0.121
1691984787.6678982,15.078,0.121
1691984788.0699286,15.078,0.121
1691984788.4723856,15.078,0.121
1691984788.8748562,15.078,0.121
1691984789.2775068,15.078,0.157
1691984789.6797957,15.078,0.15
1691984790.081859,15.079,0.15
1691984790.4843922,15.077,0.15
1691984790.8870413,15.076,0.149
1691984791.289307,15.076,0.149
1691984791.691691,15.076,0.149
1691984792.0938394,15.077,0.149
1691984792.4963589,15.077,0.185
1691984792.8989727,15.075,0.184
1691984793.301579,15.077,0.184
1691984793.7041862,15.077,0.184
1691984794.106501,15.078,0.184
1691984794.50906,15.078,0.184
1691984794.911328,15.078,0.184
1691984795.3138287,15.078,0.274
1691984795.7164092,15.078,0.231
1691984796.1185865,15.078,0.23
1691984796.5211496,15.078,0.23
1691984796.922965,15.078,0.23
1691984797.3242404,15.077,0.23
1691984797.7263608,15.077,0.23
1691984798.1285024,15.076,0.23
1691984798.5308044,15.076,0.292
1691984798.933189,15.076,0.292
1691984799.3356943,15.077,0.292
1691984799.7381427,15.078,0.292
1691984800.140396,15.078,0.292
1691984800.5428066,15.076,0.292
1691984800.945073,15.075,0.292
1691984801.3475068,15.074,0.382
1691984801.7500021,15.076,0.371
1691984802.1525927,15.076,0.371
1691984802.554979,15.077,0.371
1691984802.9571123,15.079,0.371
1691984803.3591728,15.079,0.372
1691984803.761229,15.08,0.371
1691984804.1635735,15.08,0.441
1691984804.5659587,15.081,0.463
1691984804.9684122,15.079,0.462
1691984805.3707616,15.077,0.461
