Timestamp,Voltage,Current
1691983529.1783035,15.082,0.118
1691983529.580607,15.081,0.092
1691983529.983059,15.081,0.124
1691983530.3854752,15.082,0.123
1691983530.7880256,15.082,0.123
1691983531.1905885,15.081,0.123
1691983531.592725,15.079,0.122
1691983531.9952111,15.078,0.122
1691983532.3977695,15.078,0.122
1691983532.8003778,15.078,0.122
1691983533.2027197,15.078,0.153
1691983533.6054075,15.078,0.152
1691983534.00801,15.077,0.152
1691983534.4100885,15.077,0.152
1691983534.8123925,15.078,0.152
1691983535.2146702,15.077,0.152
1691983535.6170843,15.078,0.152
1691983536.0189595,15.078,0.194
1691983536.420688,15.078,0.191
1691983536.8227925,15.078,0.191
1691983537.2251534,15.079,0.191
1691983537.6276035,15.08,0.191
1691983538.0297525,15.08,0.191
1691983538.4323883,15.08,0.191
1691983538.8341706,15.081,0.278
1691983539.2365255,15.08,0.244
1691983539.6387331,15.08,0.244
1691983540.041112,15.079,0.244
1691983540.4435499,15.079,0.244
1691983540.8460696,15.079,0.244
1691983541.2484033,15.079,0.244
1691983541.6507475,15.079,0.244
1691983542.0531182,15.078,0.324
1691983542.455411,15.078,0.316
1691983542.8579648,15.078,0.316
1691983543.2605646,15.078,0.316
1691983543.6631532,15.077,0.316
1691983544.0654542,15.077,0.316
1691983544.4680552,15.079,0.316
1691983544.8700755,15.079,0.489
1691983545.272749,15.079,0.408
1691983545.6753845,15.079,0.406
1691983546.0779436,15.079,0.407
1691983546.48034,15.079,0.407
1691983546.882421,15.079,0.406
1691983547.2849648,15.079,0.407
1691983547.6875746,15.079,0.407
1691983548.0898786,15.078,0.522
1691983548.4925008,15.079,0.52
1691983548.8947916,15.079,0.52
1691983549.2974987,15.079,0.52
1691983549.6996446,15.079,0.52
1691983550.1017926,15.077,0.519
1691983550.5044062,15.077,0.522
1691983550.9066753,15.078,0.732
1691983551.309285,15.079,0.662
1691983551.7114804,15.077,0.669
1691983552.1135333,15.077,0.664
1691983552.5160625,15.077,0.67
1691983552.918386,15.077,0.666
1691983553.320417,15.078,0.663
1691983553.722688,15.079,0.667
1691983554.1251156,15.076,0.833
1691983554.5276551,15.076,0.83
1691983554.9301214,15.078,0.833
1691983555.332571,15.079,0.83
1691983555.7347107,15.076,0.829
1691983556.1370332,15.076,0.829
1691983556.5393248,15.078,0.83
1691983556.941913,15.079,1.088
1691983557.3444777,15.079,1.027
1691983557.7470493,15.078,1.027
1691983558.1497016,15.078,1.023
1691983558.551941,15.078,1.026
1691983558.9539156,15.077,1.026
1691983559.3564742,15.076,1.025
1691983559.7590346,15.077,1.025
1691983560.1616256,15.075,1.247
1691983560.564141,15.078,1.25
1691983560.9667645,15.077,1.248
1691983561.3690538,15.077,1.25
1691983561.7711957,15.078,1.25
1691983562.1734095,15.078,1.252
1691983562.5759552,15.079,1.252
1691983562.9781532,15.079,1.584
1691983563.3807485,15.08,1.497
1691983563.7833016,15.081,1.497
1691983564.185395,15.079,1.499
1691983564.5877247,15.079,1.498
1691983564.989888,15.081,1.499
1691983565.409111,15.079,1.492
1691983565.8109462,15.079,1.492
1691983566.2130923,15.08,1.775
1691983566.6155996,15.079,1.776
1691983567.0181723,15.079,1.775
1691983567.4205654,15.08,1.776
1691983567.8227613,15.08,1.78
1691983568.2251072,15.08,1.775
1691983568.627616,15.08,1.778
1691983569.0301116,15.081,2.101
1691983569.432685,15.08,2.097
1691983569.83444,15.081,2.099
1691983570.236435,15.081,2.094
1691983570.6389554,15.081,2.095
1691983571.0408993,15.081,2.1
1691983571.4431293,15.083,2.102
1691983571.8456645,15.08,2.576
1691983572.2480447,15.081,2.449
1691983572.6504502,15.081,2.45
1691983573.052991,15.081,2.447
1691983573.4552522,15.081,2.448
1691983573.8574398,15.082,2.453
1691983574.2595372,15.082,2.447
1691983574.66197,15.081,2.444
1691983575.064565,15.081,2.822
1691983575.466953,15.081,2.829
1691983575.8693402,15.079,2.832
1691983576.2719328,15.079,2.822
1691983576.6741939,15.079,2.823
1691983577.076249,15.081,2.82
1691983577.478569,15.082,2.825
1691983577.8813324,15.082,3.298
1691983578.283219,15.082,3.239
1691983578.6855159,15.082,3.247
1691983579.087987,15.081,3.252
1691983579.4902637,15.081,3.248
1691983579.8928294,15.081,3.247
1691983580.2950394,15.082,3.248
1691983580.6971016,15.081,3.246
1691983581.0995123,15.08,3.704
1691983581.5021517,15.08,3.699
1691983581.9045277,15.081,3.706
1691983582.3068848,15.081,3.703
1691983582.7094488,15.081,3.694
1691983583.1119874,15.08,3.694
1691983583.514098,15.082,3.707
1691983583.9167125,15.081,4.087
1691983584.318984,15.08,4.183
1691983584.7212417,15.082,4.196
1691983585.1236045,15.082,4.193
1691983585.5261865,15.082,4.184
1691983585.9289932,15.082,4.193
1691983586.3311357,15.082,4.178
1691983586.7333772,15.083,4.186
1691983587.1352468,15.083,4.702
1691983587.5377717,15.082,4.703
1691983587.9403687,15.081,4.705
1691983588.3427799,15.082,4.708
1691983588.7451026,15.08,4.705
1691983589.1472151,15.08,4.703
1691983589.549316,15.08,4.701
1691983589.951844,15.08,5.36
1691983590.3540514,15.08,5.287
1691983590.756673,15.081,5.291
1691983591.1591227,15.081,5.286
1691983591.5616562,15.082,5.292
1691983591.9641287,15.081,5.297
1691983592.366286,15.081,5.297
1691983592.7688806,15.083,5.302
1691983593.1714575,15.083,5.88
1691983593.573723,15.081,5.87
1691983593.9761884,15.08,5.872
1691983594.3787265,15.08,5.866
1691983594.7813916,15.082,5.902
1691983595.1835566,15.082,5.886
1691983595.585905,15.082,5.877
1691983595.9884226,15.083,6.532
1691983596.3910122,15.084,6.532
1691983596.7936132,15.083,6.542
1691983597.1961896,15.083,6.532
1691983597.5984464,15.084,6.526
1691983598.000825,15.083,6.538
1691983598.4030082,15.083,6.533
1691983598.805322,15.085,6.529
1691983599.2078512,15.085,7.219
1691983599.6101575,15.086,7.223
1691983600.0127099,15.086,7.217
1691983600.4151423,15.086,7.219
1691983600.8177705,15.085,7.244
1691983601.220041,15.085,7.218
1691983601.622089,15.085,7.215
1691983602.0246942,15.085,7.919
1691983602.4272323,15.085,7.913
1691983602.8293214,15.083,7.938
1691983603.231888,15.083,7.924
1691983603.6340084,15.084,7.921
1691983604.0360985,15.083,7.911
1691983604.4384363,15.083,7.914
1691983604.8410199,15.083,8.663
1691983605.2435286,15.081,8.663
1691983605.646088,15.081,8.675
1691983606.048505,15.083,8.683
1691983606.450717,15.083,8.672
1691983606.8531342,15.083,8.67
1691983607.2552674,15.084,8.664
1691983607.6571276,15.086,8.673
1691983608.0596812,15.087,9.464
1691983608.4618652,15.086,9.454
1691983608.8636267,15.085,9.459
1691983609.2655776,15.086,9.437
1691983609.6675222,15.086,9.453
1691983610.0695615,15.085,9.448
1691983610.4717476,15.085,9.447
1691983610.873879,15.088,10.017
1691983611.2760594,15.087,10.275
1691983611.6780493,15.087,10.27
1691983612.0801432,15.089,10.282
1691983612.4822736,15.088,10.302
1691983612.8846564,15.09,10.278
1691983613.2868876,15.09,10.261
1691983613.6892154,15.091,10.274
1691983614.0915046,15.092,11.166
1691983614.4937637,15.094,11.148
1691983614.8961315,15.093,11.146
1691983615.2982225,15.094,11.168
1691983615.7008157,15.094,11.175
1691983616.1031086,15.094,11.175
1691983616.505343,15.093,11.154
1691983616.9074337,15.097,12.117
1691983617.309324,15.097,12.035
1691983617.711841,15.097,12.024
1691983618.1137803,15.097,12.05
1691983618.5162635,15.097,12.028
1691983618.9188035,15.098,12.026
1691983619.3208299,15.096,12.021
1691983619.7232406,15.097,12.05
1691983620.1255467,15.097,12.926
1691983620.5277443,15.099,12.939
1691983620.9300358,15.099,12.948
1691983621.3326197,15.098,12.944
1691983621.7348688,15.099,12.955
1691983622.1371152,15.099,12.952
1691983622.5396323,15.099,12.917
1691983622.9419775,15.082,12.919
