Timestamp,Voltage,Current
1692879714.8264043,15.087,0.089
1692879715.4287267,15.086,0.089
1692879716.0313623,15.086,0.089
1692879716.6345003,15.085,0.089
1692879717.2366166,15.085,0.092
1692879717.8392508,15.085,0.092
1692879718.441604,15.084,0.092
1692879719.044182,15.083,0.092
1692879719.646639,15.082,0.113
1692879720.2491405,15.084,0.414
1692879720.8517294,15.084,0.121
1692879721.4542418,15.085,0.122
1692879722.0572762,15.084,0.122
1692879722.6599424,15.084,0.122
1692879723.263076,15.085,0.153
1692879723.8658042,15.085,0.152
1692879724.4681218,15.084,0.152
1692879725.0710099,15.084,0.152
1692879725.6734555,15.083,0.151
1692879726.2764366,15.084,0.189
1692879726.8792446,15.084,0.187
1692879727.4822357,15.083,0.187
1692879728.0851145,15.084,0.187
1692879728.6873786,15.085,0.187
1692879729.290201,15.084,0.239
1692879729.892681,15.085,0.235
1692879730.4955046,15.085,0.235
1692879731.0983102,15.085,0.235
1692879731.7011664,15.085,0.235
1692879732.3041182,15.085,0.307
1692879732.906846,15.086,0.3
1692879733.509737,15.085,0.301
1692879734.112638,15.084,0.301
1692879734.7153647,15.084,0.301
1692879735.3181,15.082,0.393
1692879735.9204085,15.081,0.381
1692879736.5231411,15.082,0.381
1692879737.1254077,15.08,0.381
1692879737.727848,15.079,0.38
1692879738.3307872,15.081,0.479
1692879738.9338548,15.081,0.479
1692879739.5367239,15.081,0.48
1692879740.1396358,15.082,0.481
1692879740.7422454,15.083,0.48
1692879741.3450432,15.082,0.609
1692879741.947888,15.082,0.609
1692879742.550719,15.082,0.605
1692879743.1526623,15.082,0.607
1692879743.7546945,15.082,0.608
1692879744.3570013,15.082,0.749
1692879744.9597125,15.082,0.749
1692879745.5624964,15.082,0.749
1692879746.1650822,15.082,0.746
1692879746.7682588,15.082,0.749
1692879747.3712583,15.083,0.919
1692879747.9741693,15.082,0.92
1692879748.5770397,15.082,0.921
1692879749.1793928,15.081,0.919
1692879749.7821748,15.082,0.924
1692879750.3850417,15.081,1.12
1692879750.9880056,15.082,1.122
1692879751.5912457,15.083,1.122
1692879752.193699,15.084,1.123
1692879752.7965255,15.083,1.125
1692879753.3994458,15.083,1.339
1692879754.0022664,15.084,1.341
1692879754.605465,15.084,1.337
1692879755.208274,15.083,1.338
1692879755.8112173,15.082,1.334
1692879756.4144862,15.082,1.582
1692879757.0173728,15.082,1.587
1692879757.6200497,15.084,1.585
1692879758.2226217,15.084,1.588
1692879758.8251603,15.084,1.586
1692879759.4278314,15.083,1.873
1692879760.0304248,15.082,1.873
1692879760.6329496,15.081,1.871
1692879761.235275,15.083,1.876
1692879761.83779,15.083,1.872
1692879762.4399605,15.084,2.167
1692879763.0423903,15.084,2.171
1692879763.6449857,15.084,2.172
1692879764.247456,15.084,2.169
1692879764.849789,15.083,2.174
1692879765.4523957,15.083,2.513
1692879766.0545175,15.083,2.515
1692879766.6574109,15.083,2.512
1692879767.25957,15.083,2.514
1692879767.8623154,15.083,2.512
1692879768.464862,15.082,2.888
1692879769.0680084,15.081,2.895
1692879769.670631,15.081,2.882
1692879770.2731893,15.081,2.889
1692879770.8755128,15.079,2.895
1692879771.4781826,15.079,3.29
1692879772.0814593,15.08,3.299
1692879772.6841924,15.082,3.296
1692879773.2873032,15.082,3.296
1692879773.8900995,15.081,3.299
1692879774.492706,15.081,3.729
1692879775.0956316,15.08,3.729
1692879775.6986353,15.08,3.726
1692879776.3014953,15.081,3.726
1692879776.904081,15.082,3.732
1692879777.506423,15.082,4.193
1692879778.1089165,15.081,4.197
1692879778.7115827,15.081,4.2
1692879779.314019,15.082,4.189
1692879779.9168885,15.083,4.18
1692879780.519116,15.082,4.694
1692879781.1220312,15.082,4.697
1692879781.7246752,15.083,4.696
1692879782.327732,15.082,4.705
1692879782.9306922,15.082,4.698
1692879783.5337913,15.084,5.222
1692879784.1367724,15.085,5.235
1692879784.7396038,15.085,5.228
1692879785.3425212,15.085,5.239
1692879785.9454055,15.085,5.23
1692879786.548713,15.085,5.804
1692879787.1518886,15.085,5.807
