Timestamp,Voltage,Current
1692879412.05514,15.079,0.088
1692879412.658264,15.08,0.088
1692879413.2611048,15.08,0.088
1692879413.863738,15.08,0.088
1692879414.4662166,15.079,0.088
1692879415.06866,15.08,0.089
1692879415.6719408,15.081,0.091
1692879416.274389,15.081,0.091
1692879416.876582,15.081,0.091
1692879417.4794712,15.082,0.091
1692879418.0823777,15.082,0.155
1692879418.6849852,15.082,0.123
1692879419.2873802,15.082,0.123
1692879419.8902578,15.081,0.122
1692879420.4927802,15.08,0.122
1692879421.0954232,15.081,0.179
1692879421.6984446,15.081,0.151
1692879422.3015988,15.081,0.151
1692879422.904423,15.081,0.151
1692879423.5076182,15.081,0.151
1692879424.1109245,15.082,0.211
1692879424.7142684,15.082,0.186
1692879425.317162,15.081,0.186
1692879425.9204233,15.081,0.186
1692879426.5233088,15.08,0.186
1692879427.1262841,15.08,0.24
1692879427.7291296,15.082,0.234
1692879428.332153,15.082,0.234
1692879428.935701,15.082,0.234
1692879429.5387874,15.08,0.234
1692879430.1421573,15.08,0.31
1692879430.7452428,15.08,0.298
1692879431.3483262,15.082,0.299
1692879431.951505,15.082,0.299
1692879432.5541463,15.08,0.299
1692879433.1569662,15.079,0.383
1692879433.7596076,15.079,0.38
1692879434.3623822,15.079,0.378
1692879434.965285,15.079,0.378
1692879435.5684435,15.079,0.379
1692879436.171272,15.078,0.48
1692879436.7739074,15.078,0.477
1692879437.3767855,15.076,0.475
1692879437.979567,15.077,0.475
1692879438.582774,15.077,0.477
1692879439.185738,15.076,0.606
1692879439.7888575,15.077,0.601
1692879440.3916929,15.079,0.603
1692879440.994685,15.077,0.602
1692879441.5979092,15.077,0.604
1692879442.2011564,15.077,0.743
1692879442.8042614,15.078,0.742
1692879443.4069247,15.078,0.744
1692879444.009403,15.078,0.744
1692879444.6121185,15.079,0.745
1692879445.2153046,15.079,0.93
1692879445.8184075,15.079,0.91
1692879446.4214249,15.079,0.912
1692879447.0240166,15.078,0.916
1692879447.6272545,15.079,0.913
1692879448.2305818,15.079,1.11
1692879448.8340054,15.079,1.107
1692879449.4371078,15.08,1.112
1692879450.0403292,15.079,1.11
1692879450.642751,15.079,1.111
1692879451.2459767,15.08,1.327
1692879451.849157,15.079,1.324
